stato,codice_regione,denominazione_regione,lat,long,popolazione
ITA,13,Abruzzo,42.35122196,13.39843823,1311580
ITA,17,Basilicata,40.63947052,15.80514834,562869
ITA,4,P.A. Bolzano,46.49933453,11.35662422,531178
ITA,18,Calabria,38.90597598,16.59440194,1947131
ITA,15,Campania,40.83956555,14.25084984,5801692
ITA,8,Emilia Romagna,44.49436681,11.3417208,4459477
ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,1215220
ITA,12,Lazio,41.89277044,12.48366722,5879082
ITA,7,Liguria,44.41149315,8.9326992,1550640
ITA,3,Lombardia,45.46679409,9.190347404,10060574
ITA,11,Marche,43.61675973,13.5188753,1525271
ITA,14,Molise,41.55774754,14.65916051,305617
ITA,1,Piemonte,45.0732745,7.680687483,4356406
ITA,16,Puglia,41.12559576,16.86736689,4029053
ITA,20,Sardegna,39.21531192,9.110616306,1639591
ITA,19,Sicilia,38.11569725,13.3623567,4999891
ITA,9,Toscana,43.76923077,11.25588885,3729641
ITA,4,P.A. Trento,46.06893511,11.12123097,541098
ITA,10,Umbria,43.10675841,12.38824698,882015
ITA,2,Valle d'Aosta,45.73750286,7.320149366,125666
ITA,5,Veneto,45.43490485,12.33845213,4905854
ITA,,,,,60359546
