,data,codice_regione,denominazione_regione,casi_domani,std_casi_domani,morti_domani,std_morti_domani,casi_dopodomani,std_casi_dopodomani,morti_dopodomani,std_morti_dopodomani
567,2020-03-22 17:00:00,13,Abruzzo,144.0,15.0,14.0,1.0,177.0,21.0,19.0,1.0
568,2020-03-22 17:00:00,17,Basilicata,30.0,3.0,0.0,0.0,40.0,4.0,0.0,0.0
569,2020-03-22 17:00:00,4,P.A. Bolzano,138.0,11.0,6.0,1.0,164.0,15.0,8.0,1.0
570,2020-03-22 17:00:00,18,Calabria,60.0,4.0,4.0,1.0,73.0,6.0,6.0,2.0
571,2020-03-22 17:00:00,15,Campania,158.0,17.0,6.0,1.0,184.0,21.0,7.0,2.0
572,2020-03-22 17:00:00,8,Emilia Romagna,1050.0,19.0,133.0,5.0,1195.0,24.0,155.0,6.0
573,2020-03-22 17:00:00,6,Friuli Venezia Giulia,137.0,13.0,8.0,2.0,158.0,16.0,9.0,2.0
574,2020-03-22 17:00:00,12,Lazio,249.0,6.0,11.0,1.0,294.0,7.0,13.0,2.0
575,2020-03-22 17:00:00,7,Liguria,279.0,4.0,45.0,3.0,326.0,5.0,57.0,5.0
576,2020-03-22 17:00:00,3,Lombardia,3076.0,109.0,566.0,20.0,3419.0,130.0,658.0,25.0
577,2020-03-22 17:00:00,11,Marche,283.0,7.0,41.0,3.0,316.0,8.0,50.0,4.0
578,2020-03-22 17:00:00,14,Molise,16.0,2.0,4.0,1.0,19.0,3.0,6.0,2.0
579,2020-03-22 17:00:00,1,Piemonte,935.0,97.0,51.0,3.0,1123.0,129.0,60.0,4.0
580,2020-03-22 17:00:00,16,Puglia,166.0,13.0,4.0,0.0,200.0,18.0,4.0,1.0
581,2020-03-22 17:00:00,20,Sardegna,93.0,16.0,1.0,1.0,117.0,22.0,1.0,1.0
582,2020-03-22 17:00:00,19,Sicilia,117.0,8.0,2.0,0.0,140.0,11.0,2.0,0.0
583,2020-03-22 17:00:00,9,Toscana,399.0,24.0,38.0,3.0,467.0,31.0,53.0,5.0
584,2020-03-22 17:00:00,4,P.A. Trento,147.0,22.0,13.0,3.0,171.0,28.0,18.0,5.0
585,2020-03-22 17:00:00,10,Umbria,117.0,9.0,12.0,3.0,142.0,13.0,20.0,5.0
586,2020-03-22 17:00:00,2,Valle d'Aosta,101.0,14.0,3.0,1.0,127.0,19.0,5.0,1.0
587,2020-03-22 17:00:00,5,Veneto,681.0,22.0,27.0,1.0,770.0,27.0,31.0,2.0
