"denominazione_regione","data","totale_casi","std_totale_casi","totale_attualmente_positivi","std_totale_attualmente_positivi","deceduti","std_deceduti","dimessi_guariti","std_dimessi_guariti"
"Italia","2020-03-30 18:00:00","107726.33137055225","1036.804850730299","81476.3088211111","1103.7803890726","11853.840094716177","88.81097447947828","14396.182454724967","368.0753450251567"
"Italia","2020-03-31 18:00:00","114829.91240177826","1245.1493717110582","86489.1287255988","1323.7135868372986","12808.830763634853","108.06194484129409","15531.952912544619","436.0542605941845"
"Italia","2020-04-01 18:00:00","122013.47839585284","1480.6024899049955","91539.54356681765","1572.3562730060753","13782.139970481197","130.3944812990308","16691.794858553993","512.950090550182"
"Italia","2020-04-02 18:00:00","129255.46126647669","1742.5509050769551","96613.71720187787","1849.1475360827646","14770.035447763135","155.7853792610322","17871.708616835695","598.8270777319116"
"Italia","2020-04-03 18:00:00","136534.87646165988","2030.302978253267","101698.33654959057","2153.4235423892274","15768.833520268221","184.18917959572644","19067.706391801086","693.6693128082981"
"Italia","2020-04-04 18:00:00","143831.4788433368","2343.067856884528","106780.68509944317","2484.4007422708924","16774.939272462445","215.5390772314869","20275.854471431183","797.3850841449847"
"Italia","2020-04-05 18:00:00","151125.89440532186","2679.942811311153","111848.70234010063","2841.165785040541","17784.881287196018","249.74712533985343","21492.310778025214","909.8109251768657"
"Italia","2020-04-06 18:00:00","158399.72842066892","3039.9094329836776","116891.02995002101","3222.6735266156174","18795.340893916502","286.70480634275356","22713.357576731432","1030.7160872063466"
"Italia","2020-04-07 18:00:00","165635.6510228722","3421.837050716409","121897.04570901091","3627.7519313820267","19803.17601863688","326.28422789341727","23935.42929522441","1159.8076894978967"
"Italia","2020-04-08 18:00:00","172817.4615470334","3824.491398007145","126856.8861655617","4055.11213121689","20805.43985235818","368.3398940450115","25155.135529113526","1296.7365444710229"
"Italia","2020-04-09 18:00:00","179930.1331941308","4246.546820013045","131761.4591365204","4503.362031282083","21799.394650680937","412.7109087023454","26369.279406929436","1441.1035341252436"
"Italia","2020-04-10 18:00:00","186959.83974235697","4686.600667195276","136602.44712864122","4971.022140729302","22782.521047090686","459.22345770567506","27574.871566625094","1592.4663656600617"
"Italia","2020-04-11 18:00:00","193893.9661234931","5143.188844156543","141372.30276099278","5456.542592767349","23752.523308625754","507.69343310680455","28769.14005387456","1750.346525122418"
"Italia","2020-04-12 18:00:00","200721.10471909994","5614.801739784398","146064.23723774118","5958.320560174108","24707.330988435795","557.9290875054185","29949.536492922965","1914.2362586741922"
